company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
International Paper,university of memphis,469.0,mississippi state university,289.0,university of tennessee knoxville,131.0,auburn university,125.0,north carolina state university,120.0,university of phoenix,112.0,university of mississippi,108.0,krakow university of economics,101.0,christian brothers university,101.0,georgia institute of technology,95.0,louisiana state university,85.0,the university of alabama,84.0,louisiana tech university,82.0,university of south carolina,61.0,northwestern state university,59.0,264
Interpublic Group of Companies (The),university of central arkansas,478.0,university of arkansas at little rock,147.0,university of arkansas,138.0,arkansas tech university,100.0,virginia commonwealth university,85.0,university of nebraska at omaha,84.0,university of minnesota,80.0,michigan state university,80.0,new york university,77.0,baruch college,70.0,university of buenos aires,65.0,syracuse university,48.0,the university of texas at austin,47.0,boston university,47.0,arkansas state university,45.0,265
Intuit,uc san diego,366.0,san diego state university,314.0,san jose state university,303.0,university of california berkeley,254.0,university of phoenix,229.0,university of arizona,169.0,stanford university,164.0,ucla,134.0,university of southern california,134.0,birla institute of technology and science pilani,134.0,visvesvaraya technological university,131.0,university of mumbai,130.0,northeastern university,119.0,georgia institute of technology,108.0,university of toronto,97.0,266
Intuitive Surgical,san jose state university,492.0,universidad autonoma de baja california,221.0,university of california berkeley,190.0,stanford university,182.0,california polytechnic state universitysan luis obispo,155.0,santa clara university,150.0,cetys universidad,139.0,university of california davis,138.0,georgia institute of technology,114.0,uc san diego,106.0,ucla,95.0,de anza college,87.0,university of southern california,84.0,arizona state university,69.0,california state university east bay,62.0,267
Invesco,university of houston,160.0,osmania university,98.0,the university of texas at austin,93.0,texas am university,78.0,georgia institute of technology,54.0,georgia state university,49.0,university of houston ct bauer college of business,42.0,jawaharlal nehru technological university,42.0,university of georgia terry college of business,38.0,university of houstondowntown,38.0,nyu stern school of business,37.0,new york university,33.0,cornell university,32.0,andhra university,28.0,kennesaw state university,24.0,268
Invitation Homes,arizona state university,26.0,university of phoenix,21.0,the university of texas at dallas,16.0,university of north texas,16.0,texas am university,12.0,university of central florida,9.0,the university of texas at arlington,9.0,east texas am university,9.0,university of arizona,8.0,university of arkansas,8.0,grand canyon university,7.0,tarrant county college,7.0,kennesaw state university,7.0,florida state university,6.0,university of oklahoma,6.0,269
IQVIA,university of mumbai,661.0,university of buenos aires,659.0,rajiv gandhi university of health sciences,506.0,savitribai phule pune university,396.0,bangalore university,380.0,visvesvaraya technological university,368.0,north carolina state university,342.0,university of north carolina at chapel hill,316.0,ucl,271.0,kendriya vidyalaya,256.0,delhi university,178.0,birla institute of technology and science pilani,153.0,vellore institute of technology,149.0,svkms narsee monjee institute of management studies nmims,125.0,the london school of economics and political science lse,101.0,270
Iron Mountain,universidade paulista,112.0,anhanguera educacional,107.0,uninove universidade nove de julho,106.0,babesbolyai university,101.0,servicio nacional de aprendizaje sena,96.0,estacio,77.0,bangalore university,70.0,university of phoenix,59.0,penn state university,59.0,fgv fundacao getulio vargas,51.0,university of mumbai,46.0,northeastern university,46.0,senai sao paulo,40.0,visvesvaraya technological university,38.0,anadolu university,34.0,271
T-Mobile US,university of phoenix,1008.0,university of washington,963.0,colorado technical university,701.0,ashford university,653.0,the university of arizona global campus,588.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,272
J.B. Hunt,university of arkansas,1215.0,northwest arkansas community college,294.0,arkansas tech university,146.0,university of phoenix,111.0,university of central arkansas,108.0,john brown university,96.0,university of arkansas fort smith,85.0,georgia southern university,66.0,arkansas state university,64.0,penn state university,63.0,oklahoma state university,60.0,university of north texas,59.0,auburn university,58.0,university of tennessee knoxville,55.0,harding university,47.0,273
Jabil,universidad de guadalajara,1067.0,universidad tecmilenio,380.0,universidad autonoma de chihuahua,301.0,centro de ensenanza tecnica industrial,266.0,tecnologico de monterrey,236.0,university of south florida,220.0,universiti sains malaysia,213.0,universidad del valle de mexico,185.0,university of miskolc,182.0,savitribai phule pune university,172.0,universidad del valle de atemajac,161.0,instituto tecnologico de chihuahua,160.0,iteso universidad jesuita de guadalajara,144.0,universiti utara malaysia,134.0,puc minas,111.0,274
Jack Henry & Associates,missouri state university,415.0,missouri southern state university,158.0,ozarks technical community college,156.0,university of phoenix,100.0,western governors university,83.0,drury university,79.0,crowder college,66.0,san diego state university,57.0,university of northern iowa,40.0,university of missouricolumbia,39.0,university of north texas,37.0,evangel university,35.0,university of alabama at birmingham,32.0,university of arkansas,31.0,university of missourikansas city,27.0,275
Jacobs Solutions,politechnika krakowska im tadeusza kosciuszki,466.0,agh university of krakow,428.0,texas am university,375.0,university of leeds,336.0,the university of manchester,262.0,georgia institute of technology,260.0,university of mumbai,257.0,penn state university,249.0,university of birmingham,228.0,the university of texas at austin,224.0,purdue university,223.0,unsw,196.0,university of illinois urbanachampaign,192.0,university college dublin,153.0,nicmar university,92.0,276
Johnson & Johnson,rutgers university,1283.0,penn state university,848.0,ku leuven,729.0,fgv fundacao getulio vargas,475.0,drexel university,375.0,rutgers business school,368.0,villanova university,349.0,university of mumbai,285.0,stevens institute of technology,278.0,usp universidade de sao paulo,272.0,national university of singapore,271.0,university of pennsylvania,255.0,cornell university,252.0,the wharton school,173.0,harvard business school,123.0,277
Johnson Controls,universidad autonoma de nuevo leon,768.0,savitribai phule pune university,609.0,university of wisconsinmilwaukee,311.0,tecnologico de monterrey,290.0,delhi university,273.0,universidad tecmilenio,264.0,university of phoenix,243.0,university of mumbai,192.0,penn state university,180.0,marquette university,174.0,the institute of chartered accountants of india,158.0,university of wisconsinmadison,143.0,university college cork,108.0,texas am university,101.0,visvesvaraya technological university,99.0,278
JPMorgan Chase,university of mumbai,3922.0,the institute of chartered accountants of india,1641.0,new york university,1482.0,cornell university,1286.0,the london school of economics and political science lse,1164.0,columbia university,1112.0,nyu stern school of business,1056.0,birla institute of technology and science pilani,971.0,kendriya vidyalaya,800.0,the wharton school,750.0,svkms narsee monjee institute of management studies nmims,692.0,delhi university,642.0,vellore institute of technology,531.0,universita bocconi,423.0,thapar institute of engineering technology,302.0,279
Juniper Networks,san jose state university,260.0,visvesvaraya technological university,209.0,birla institute of technology and science pilani,145.0,university of mumbai,122.0,bangalore university,115.0,anna university chennai,106.0,jawaharlal nehru technological university,102.0,university of california berkeley,94.0,university of southern california,72.0,manipal institute of technology,70.0,santa clara university,68.0,stanford university,68.0,northeastern university,68.0,university of madras,59.0,kle technological university hubballi india,54.0,280
Kellanova,tecnologico de monterrey,263.0,michigan state university,127.0,western michigan university,117.0,academia de studii economice din bucuresti,76.0,western michigan university haworth college of business,76.0,fgv fundacao getulio vargas,63.0,unopar universidade norte do parana,59.0,universidad anahuac queretaro,57.0,grand valley state university,54.0,universidad autonoma de queretaro,51.0,federal university of technology parana,49.0,escuela bancaria y comercial,47.0,unochapeco universidade comunitaria da regiao de chapeco,46.0,kellogg community college,42.0,central michigan university,35.0,281
Kenvue,fgv fundacao getulio vargas,265.0,rutgers university,243.0,usp universidade de sao paulo,229.0,penn state university,205.0,universidade paulista,158.0,rutgers business school,110.0,anhanguera educacional,101.0,university of mumbai,97.0,sapienza universita di roma,97.0,universidad icesi,93.0,universidade do vale do paraiba,85.0,the college of new jersey,83.0,espm escola superior de propaganda e marketing,81.0,universidade estadual paulista julio de mesquita filho,74.0,universidade estadual de campinas,69.0,282
Keurig Dr Pepper,university of north texas,96.0,university of phoenix,93.0,the university of texas at dallas,83.0,texas am university,73.0,champlain college,57.0,the university of texas at austin,56.0,northeastern university,53.0,university of vermont,53.0,the university of texas at arlington,47.0,university of arkansas,46.0,university of tennessee knoxville,41.0,southern methodist university,39.0,penn state university,37.0,collin college,36.0,university of massachusetts lowell,36.0,283
KeyCorp,cleveland state university,494.0,kent state university,314.0,baldwin wallace university,267.0,cuyahoga community college,259.0,the ohio state university,225.0,the university of akron,220.0,university at buffalo,203.0,bowling green state university,191.0,miami university,177.0,john carroll university,163.0,ohio university,162.0,buffalo state university,119.0,the university of toledo,116.0,weatherhead school of management at case western reserve university,113.0,case western reserve university,94.0,284
T. Rowe Price,towson university,504.0,university of maryland,323.0,university of maryland baltimore county,308.0,loyola university maryland,281.0,university of maryland global campus,162.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,285
Keysight Technologies,universiti sains malaysia,190.0,university politehnica of bucharest,162.0,santa rosa junior college,146.0,california polytechnic state universitysan luis obispo,134.0,delhi university,131.0,university of california davis,127.0,sonoma state university,126.0,colorado state university,110.0,universidad de malaga,98.0,the institute of chartered accountants of india,97.0,university of colorado colorado springs,87.0,university of colorado boulder,82.0,stanford university,78.0,universiti teknologi malaysia,78.0,georgia institute of technology,74.0,286
Kimberly-Clark,university of wisconsinoshkosh,316.0,university of wisconsinmadison,250.0,universidade de mogi das cruzes,216.0,university of tennessee knoxville,146.0,fgv fundacao getulio vargas,145.0,centro universitario braz cubas,142.0,michigan technological university,135.0,universidad de costa rica ucr,132.0,senai sao paulo,118.0,georgia institute of technology,118.0,jagiellonian university,109.0,university of buenos aires,108.0,purdue university,93.0,universidad de lima,90.0,tecnologico de costa rica,79.0,287
Kimco Realty,queens college,16.0,nassau community college,12.0,baruch college,11.0,university of north carolina at charlotte,10.0,university of florida,10.0,hofstra university,9.0,university of houston,9.0,university of phoenix,9.0,miami dade college,7.0,new york university,7.0,university of north carolina at chapel hill,7.0,stony brook university,7.0,towson university,6.0,adelphi university,6.0,university of maryland,6.0,288
Kinder Morgan,texas am university,231.0,university of houston,224.0,university of houstondowntown,98.0,the university of texas at austin,87.0,louisiana state university,83.0,san jacinto college,81.0,sam houston state university,81.0,houston community college,63.0,university of phoenix,59.0,texas tech university,57.0,university of houstonclear lake,52.0,university of houston ct bauer college of business,50.0,lamar university,44.0,texas state university,38.0,the university of alabama,29.0,289
KKR,cornell university,124.0,the wharton school,98.0,the london school of economics and political science lse,91.0,harvard business school,81.0,university of pennsylvania,60.0,harvard university,59.0,columbia university,59.0,dublin city university,58.0,stanford university,52.0,new york university,50.0,university college dublin,50.0,nyu stern school of business,48.0,the institute of chartered accountants of india,45.0,university of oxford,43.0,university of california berkeley,39.0,290
KLA Corporation,san jose state university,328.0,technion israel institute of technology,284.0,bengurion university of the negev,197.0,national cheng kung university,190.0,tel aviv university,162.0,national taiwan university,146.0,nanyang technological university singapore,145.0,national university of singapore,143.0,national tsing hua university,125.0,stanford university,124.0,university of michigan,116.0,braude academic college,103.0,university of california berkeley,99.0,anna university chennai,81.0,indian institute of technology madras,73.0,291
Kraft Heinz,university of illinois urbanachampaign,208.0,michigan state university,152.0,fgv fundacao getulio vargas,112.0,penn state university,104.0,university of wisconsinmadison,102.0,tecnologico de monterrey,96.0,wageningen university research,86.0,purdue university,78.0,northwestern university kellogg school of management,77.0,indiana university bloomington,71.0,depaul university,71.0,northwestern university,63.0,universidad de guadalajara,60.0,university of arkansas,59.0,northern illinois university,50.0,292
Kroger,university of cincinnati,1241.0,northern kentucky university,651.0,the ohio state university,641.0,university of phoenix,551.0,university of kentucky,439.0,miami university,432.0,ohio university,326.0,purdue university,292.0,oregon state university,271.0,xavier university,260.0,cincinnati state technical and community college,249.0,wright state university,245.0,indiana university bloomington,231.0,university of cincinnati carl h lindner college of business,230.0,university of dayton,135.0,293
L3Harris,rochester institute of technology,766.0,university of central florida,752.0,florida institute of technology,546.0,university of florida,518.0,community college of the air force,495.0,embryriddle aeronautical university,437.0,eastern florida state college,378.0,east texas am university,371.0,stevens institute of technology,345.0,university of phoenix,337.0,university of utah,334.0,georgia institute of technology,311.0,purdue university,292.0,texas am university,280.0,penn state university,229.0,294
LabCorp,arizona state university,321.0,university of north carolina at greensboro,300.0,north carolina state university,243.0,university of phoenix,240.0,university of wisconsinmadison,214.0,purdue university,201.0,university of north carolina at chapel hill,199.0,indiana university indianapolis,175.0,indiana university bloomington,134.0,university of leeds,130.0,savitribai phule pune university,115.0,michigan state university,112.0,rutgers university,111.0,bangalore university,90.0,rajiv gandhi university of health sciences,79.0,295
Lam Research,san jose state university,397.0,university of california berkeley,255.0,portland state university,197.0,oregon state university,188.0,visvesvaraya technological university,133.0,stanford university,126.0,portland community college,117.0,national cheng kung university,116.0,university of phoenix,113.0,ucla,107.0,university of california davis,104.0,california polytechnic state universitysan luis obispo,102.0,national taiwan university,102.0,university of illinois urbanachampaign,96.0,nanyang technological university singapore,92.0,296
Lamb Weston,washington state university,117.0,columbia basin college,94.0,boise state university,84.0,university of idaho,79.0,idaho state university,57.0,eastern washington university,41.0,central washington university,35.0,universidad nacional de mar del plata,33.0,western governors university,30.0,brigham young university,27.0,university of phoenix,24.0,college of southern idaho,23.0,eastern oregon university,22.0,university of washington,21.0,perry technical institute,15.0,297
NRG Energy,utah valley university,550.0,brigham young university,428.0,brigham young university idaho,190.0,university of houston,184.0,utah state university,177.0,university of utah,173.0,texas am university,132.0,salt lake community college,89.0,the university of texas at austin,85.0,weber state university,78.0,university of phoenix,78.0,university of houstondowntown,78.0,penn state university,77.0,southern utah university,67.0,the university of arizona global campus,63.0,298
Las Vegas Sands,university of nevadalas vegas,56.0,college of southern nevada,26.0,university of phoenix,11.0,university of southern california,11.0,western governors university,8.0,unlv lee business school,7.0,university of nevada reno,7.0,the art institutes,6.0,arizona state university,5.0,colorado state university,4.0,university of wisconsinstout,4.0,cornell university,4.0,community college of the air force,4.0,georgetown university,4.0,california state university long beach,4.0,299
Leidos,university of maryland global campus,915.0,community college of the air force,669.0,george mason university,585.0,university of maryland,571.0,university of phoenix,492.0,western governors university,475.0,virginia tech,465.0,the university of alabama in huntsville,406.0,the george washington university,338.0,penn state university,325.0,american military university,321.0,university of maryland baltimore county,274.0,northern virginia community college,266.0,georgia institute of technology,248.0,university of virginia,217.0,300
Lennar,florida international university,190.0,miami dade college,106.0,university of phoenix,78.0,university of florida,77.0,arizona state university,73.0,texas am university,67.0,texas state university,57.0,university of central florida,55.0,university of miami,53.0,university of south florida,53.0,florida state university,49.0,florida atlantic university,46.0,florida international university college of business,43.0,nova southeastern university,41.0,the university of texas at austin,40.0,301
Lennox International,the university of texas at dallas,151.0,university of north texas,87.0,anna university chennai,76.0,texas am university,62.0,university of phoenix,54.0,university of madras,48.0,15094820,47.0,naveen jindal school of management ut dallas,43.0,iowa state university,39.0,the university of texas at arlington,39.0,collin college,37.0,universidad autonoma de coahuila,32.0,the university of texas at austin,29.0,universidad americana del noreste,28.0,university of arkansas,23.0,302
Lilly (Eli),purdue university,1850.0,indiana university bloomington,1175.0,indiana university indianapolis,1019.0,university college cork,970.0,munster technological university,805.0,indiana university kelley school of business,503.0,ball state university,487.0,universita degli studi di firenze,381.0,butler university,372.0,university of limerick,304.0,university of illinois urbanachampaign,240.0,university of michigan,222.0,the ohio state university,215.0,michigan state university,213.0,usp universidade de sao paulo,157.0,303
Linde plc,technical university of munich,254.0,university at buffalo,254.0,the maharaja sayajirao university of baroda,107.0,university of south africauniversiteit van suidafrika,93.0,tecnologico de monterrey,91.0,technische universitat dresden,82.0,penn state university,75.0,badenwuerttemberg cooperative state university dhbw,74.0,hochschule munchen university of applied sciences,74.0,ludwigmaximiliansuniversitat munchen,65.0,west university of timisoara,63.0,university of buenos aires,62.0,fau erlangennurnberg,52.0,fgv fundacao getulio vargas,43.0,gujarat university,35.0,304
Live Nation Entertainment,university of southern california,152.0,ucla,146.0,full sail university,142.0,berklee college of music,136.0,arizona state university,127.0,columbia college chicago,124.0,california state university northridge,104.0,california state university fullerton,96.0,belmont university,92.0,temple university,91.0,new york university,90.0,san diego state university,88.0,northeastern university,62.0,california state university long beach,60.0,drexel university,56.0,305
LKQ Corporation,middle tennessee state university mtsu,61.0,university of phoenix,34.0,universidad autonoma de nuevo leon,18.0,visvesvaraya technological university,15.0,tennessee state university,14.0,northern illinois university,10.0,the ohio state university,9.0,indiana university bloomington,9.0,nashville state community college,9.0,depaul university,8.0,kent state university,8.0,universal technical institute inc,8.0,devry university,7.0,penn state university,6.0,vanderbilt university,6.0,306
Lockheed Martin,university of central florida,3179.0,embryriddle aeronautical university,2490.0,penn state university,1863.0,the university of texas at arlington,1702.0,texas am university,1699.0,community college of the air force,1663.0,georgia institute of technology,1392.0,university of florida,1192.0,university of colorado boulder,1115.0,southern methodist university,1084.0,drexel university,1057.0,florida institute of technology,876.0,purdue university,868.0,cornell university,665.0,the university of texas at austin,656.0,307
Loews Corporation,university of central florida,257.0,valencia college,242.0,university of illinois urbanachampaign,150.0,depaul university,135.0,illinois state university,98.0,university of illinois chicago,94.0,university of central florida rosen college of hospitality management,75.0,university of phoenix,70.0,northern illinois university,69.0,florida international university,57.0,purdue university,56.0,penn state university,54.0,loyola university chicago,45.0,texas am university,43.0,temple university,39.0,308
Lowe's,university of north carolina at charlotte,668.0,university of phoenix,657.0,appalachian state university,518.0,southern new hampshire university,413.0,central piedmont community college,260.0,north carolina state university,257.0,east carolina university,248.0,penn state university,241.0,wilkes community college,227.0,university of north carolina at greensboro,203.0,university of north carolina at chapel hill,201.0,university of south carolina,190.0,cornell university,110.0,jawaharlal nehru technological university,103.0,unc kenanflagler business school,94.0,309
Lululemon Athletica,the university of british columbia,619.0,simon fraser university,390.0,british columbia institute of technology,385.0,university of toronto,191.0,university of victoria,171.0,humber college,159.0,kwantlen polytechnic university,159.0,western university,156.0,ubc sauder school of business,155.0,queens university,135.0,university of calgary,132.0,university of washington,132.0,langara college,132.0,ryerson university,117.0,mcgill university,114.0,310
Take-Two Interactive,baruch college,16.0,columbia university,14.0,new york university,10.0,simon fraser university,9.0,penn state university,8.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,311
LyondellBasell,university of houston,355.0,san jacinto college,309.0,texas am university,301.0,university of houstonclear lake,162.0,the university of texas at austin,162.0,lee college,133.0,mcneese state university,130.0,university of houston ct bauer college of business,129.0,lamar university,120.0,rotterdam university of applied sciences,89.0,university of houstondowntown,86.0,louisiana state university,82.0,university of illinois urbanachampaign,75.0,sowela technical community college,74.0,houston community college,71.0,312
M&T Bank,university at buffalo,1004.0,canisius university,560.0,buffalo state university,531.0,erie community college,399.0,university at buffalo school of management the state university of new york,272.0,niagara university,202.0,university of maryland,181.0,penn state university,178.0,state university of new york at fredonia,169.0,medaille university,149.0,rochester institute of technology,130.0,st bonaventure university,128.0,suny geneseo,120.0,niagara county community college,119.0,university of delaware,110.0,313
Marathon Petroleum,bowling green state university,400.0,the university of findlay,368.0,the university of toledo,280.0,the ohio state university,208.0,texas am university,169.0,the university of texas at san antonio,164.0,louisiana state university,141.0,ohio northern university,129.0,tiffin university,125.0,owens community college,108.0,university of cincinnati,105.0,university of phoenix,99.0,university of kentucky,90.0,michigan state university,89.0,bismarck state college,81.0,314
MarketAxess,new york university,23.0,stony brook university,14.0,nyu stern school of business,12.0,cornell university,11.0,baruch college,11.0,stevens institute of technology,11.0,columbia university,10.0,northeastern university,10.0,the london school of economics and political science lse,9.0,penn state university,8.0,ucl,8.0,the university of texas at austin,7.0,university of pennsylvania,7.0,rutgers university,7.0,university of delaware,7.0,315
Marriott International,cornell university,718.0,johnson wales university,688.0,university of central florida,474.0,florida international university,424.0,indira gandhi national open university,382.0,university of maryland,371.0,penn state university,320.0,university of mumbai,272.0,delhi university,215.0,cairo university,208.0,les roches,166.0,ain shams university,160.0,wine spirit education trust,147.0,ehl,132.0,hotelschool the hague,86.0,316
Marsh McLennan,delhi university,642.0,university of mumbai,528.0,chartered insurance institute,319.0,anziif,220.0,university college dublin,184.0,the london school of economics and political science lse,159.0,institute and faculty of actuaries,157.0,university of exeter,144.0,tecnologico de monterrey,142.0,the institute of chartered accountants of india,140.0,university of leeds,139.0,university of nottingham,136.0,guru gobind singh indraprastha university,133.0,nyu stern school of business,112.0,fgv fundacao getulio vargas,88.0,317
Martin Marietta Materials,north carolina state university,69.0,missouri university of science and technology,32.0,texas am university,29.0,virginia tech,27.0,university of phoenix,27.0,colorado state university,24.0,east carolina university,23.0,wake technical community college,21.0,university of north carolina at chapel hill,18.0,university of kentucky,18.0,university of north texas,15.0,the university of texas at san antonio,14.0,west virginia university,13.0,texas state university,13.0,san diego state university,10.0,318
Masco,badenwuerttemberg cooperative state university dhbw,128.0,purdue university,91.0,offenburg university of applied sciences,65.0,california state university fullerton,61.0,university of phoenix,50.0,michigan state university,50.0,indiana university indianapolis,48.0,indiana university bloomington,46.0,eastern michigan university,44.0,hochschule furtwangen,41.0,uc irvine,41.0,university of la verne,40.0,indiana university kelley school of business,38.0,university of michigandearborn,36.0,california state university long beach,29.0,319
Mastercard,savitribai phule pune university,660.0,university of mumbai,337.0,universidad de los andes,214.0,university college dublin,189.0,kendriya vidyalaya,188.0,the london school of economics and political science lse,188.0,the institute of chartered accountants of india,174.0,delhi university,174.0,fgv fundacao getulio vargas,173.0,cornell university,164.0,indian institute of management calcutta,132.0,the wharton school,132.0,insead,126.0,indian institute of technology kharagpur,111.0,bogazici university,106.0,320
Match Group,university of southern california,47.0,university of california berkeley,46.0,the university of texas at dallas,40.0,new york university,36.0,university of north texas,29.0,ucla,27.0,the university of texas at austin,26.0,uc irvine,24.0,columbia university,20.0,cornell university,20.0,southern methodist university,16.0,california state university northridge,15.0,the wharton school,13.0,northeastern university,12.0,uc santa barbara,12.0,321
McCormick & Company,university of lodz,233.0,towson university,161.0,university of maryland,97.0,loyola university maryland,93.0,lodz university of technology,88.0,penn state university,66.0,fanshawe college,54.0,university of baltimore,49.0,szkoa gowna gospodarstwa wiejskiego w warszawie,46.0,university of maryland baltimore county,41.0,western university,39.0,university of maryland global campus,38.0,community college of baltimore county,36.0,purdue university,34.0,universita degli studi di firenze,34.0,322
McDonald's,colorado technical university,743.0,seneca polytechnic,621.0,conestoga college,472.0,the manchester metropolitan university,435.0,lambton college,301.0,university of illinois urbanachampaign,250.0,depaul university,243.0,northern illinois university,167.0,university of illinois chicago,166.0,university of nottingham,126.0,illinois state university,116.0,indiana university bloomington,105.0,northwestern university,90.0,northwestern university kellogg school of management,78.0,university of wisconsinmadison,77.0,323
Nucor,purdue university,57.0,the university of alabama,55.0,university of south carolina,53.0,utah state university,52.0,northeast community college,47.0,purdue university fort wayne,45.0,missouri university of science and technology,43.0,university of phoenix,43.0,south dakota mines,43.0,arkansas state university,39.0,texas am university,39.0,florencedarlington technical college,37.0,western governors university,35.0,calhoun community college,33.0,athens state university,23.0,324
McKesson Corporation,university of phoenix,292.0,university of north texas,205.0,virginia commonwealth university,201.0,the university of texas at arlington,157.0,texas am university,129.0,arizona state university,122.0,the university of texas at dallas,119.0,western governors university,110.0,tarrant county college,101.0,the university of texas at austin,101.0,university of north florida,100.0,the ohio state university,99.0,james madison university,87.0,georgia institute of technology,79.0,university of houston,78.0,325
Medtronic,university of minnesota,2110.0,university of galway,781.0,university of st thomas,677.0,arizona state university,518.0,university of minnesota carlson school of management,506.0,university of wisconsinmadison,387.0,university of connecticut,304.0,northeastern university,263.0,university of southern california,262.0,georgia institute of technology,234.0,university of st thomas opus college of business,216.0,texas am university,201.0,fgv fundacao getulio vargas,142.0,university of mumbai,138.0,northwestern university kellogg school of management,105.0,326
Merck & Co.,penn state university,1187.0,rutgers university,1071.0,temple university,816.0,drexel university,681.0,villanova university,466.0,lehigh university,416.0,university of pennsylvania,410.0,university of delaware,389.0,cornell university,361.0,new jersey institute of technology,358.0,north carolina state university,349.0,stevens institute of technology,283.0,university of north carolina at chapel hill,246.0,purdue university,236.0,the johns hopkins university,201.0,327
Meta Platforms,university of california berkeley,2233.0,stanford university,1860.0,carnegie mellon university,1686.0,university of washington,1529.0,georgia institute of technology,1433.0,university of southern california,1413.0,ucla,1278.0,university of illinois urbanachampaign,1122.0,columbia university,1054.0,cornell university,1021.0,new york university,983.0,san jose state university,905.0,harvard university,705.0,birla institute of technology and science pilani,444.0,delhi university,338.0,328
MetLife,delhi university,516.0,university of south florida,306.0,university of rajasthan,256.0,universidad nacional autonoma de mexico,241.0,rutgers university,195.0,universidad del valle de mexico,158.0,tecnologico de monterrey,146.0,ain shams university,143.0,north carolina state university,137.0,cairo university,136.0,pontificia universidad catolica de chile,107.0,the institute of chartered accountants of india,105.0,institute and faculty of actuaries,94.0,cornell university,90.0,fgv fundacao getulio vargas,89.0,329
Mettler Toledo,the ohio state university,150.0,eth zurich,140.0,university of warsaw,121.0,university of mumbai,115.0,sgh warsaw school of economics,65.0,warsaw university of technology,58.0,mumbai university mumbai,52.0,instituto politecnico nacional,50.0,franklin university,48.0,university of zurich,47.0,the ohio state university fisher college of business,43.0,university of south florida,43.0,university of stgallen,41.0,szkoa gowna gospodarstwa wiejskiego w warszawie,34.0,hsr hochschule fur technik rapperswil,31.0,330
MGM Resorts,university of nevadalas vegas,1182.0,college of southern nevada,655.0,university of phoenix,172.0,university of macau,157.0,mississippi gulf coast community college,149.0,atlantic cape community college,117.0,the university of southern mississippi,117.0,stockton university,114.0,university of nevada reno,78.0,unlv lee business school,66.0,western governors university,64.0,institute for tourism studies,60.0,wayne state university,60.0,the art institutes,58.0,johnson wales university,49.0,331
Microchip Technology,arizona state university,491.0,san jose state university,149.0,university politehnica of bucharest,134.0,university of phoenix,94.0,birla institute of technology and science pilani,94.0,visvesvaraya technological university,93.0,vellore institute of technology,85.0,anna university chennai,81.0,the university of british columbia,81.0,technological university of the philippines,62.0,polytechnic university of the philippines,61.0,university of arizona,61.0,jawaharlal nehru technological university,59.0,mesa community college,56.0,devry university,51.0,332
Micron Technology,nanyang technological university singapore,1342.0,national university of singapore,1239.0,boise state university,1073.0,university of idaho,371.0,universiti teknologi malaysia,347.0,universiti sains malaysia,332.0,national tsing hua university,311.0,national taiwan university,249.0,birla institute of technology and science pilani,184.0,jawaharlal nehru technological university,164.0,arizona state university,161.0,anna university chennai,148.0,georgia institute of technology,136.0,indian institute of technology bombay,122.0,university of california berkeley,122.0,333
Microsoft,university of washington,6347.0,georgia institute of technology,2299.0,birla institute of technology and science pilani,1472.0,stanford university,1175.0,cornell university,1161.0,massachusetts institute of technology,927.0,harvard university,816.0,kendriya vidyalaya,796.0,insead,685.0,northwestern university kellogg school of management,680.0,vellore institute of technology,651.0,the wharton school,563.0,indian institute of technology delhi,498.0,harvard business school,498.0,indian school of business,455.0,334
Mid-America Apartment Communities,university of memphis,50.0,mississippi state university,13.0,christian brothers university,12.0,kennesaw state university,11.0,university of mississippi,10.0,austin community college,10.0,university of north texas,10.0,university of tennessee knoxville,9.0,university of phoenix,9.0,georgia state university,9.0,university of south florida,8.0,tarrant county college,8.0,central piedmont community college,7.0,auburn university,7.0,the university of alabama,7.0,335
Moderna,northeastern university,330.0,university of massachusetts amherst,203.0,boston university,126.0,university of rhode island,118.0,harvard medical school,116.0,university of massachusetts lowell,103.0,worcester polytechnic institute,91.0,umass boston,82.0,penn state university,64.0,massachusetts institute of technology,63.0,rutgers university,59.0,tufts university,56.0,massachusetts college of pharmacy and health sciences,55.0,cornell university,52.0,university of new hampshire,49.0,336
Pentair,university of minnesota,70.0,university of minnesota carlson school of management,58.0,north carolina state university,58.0,universita di pisa,52.0,saxion university of applied sciences,46.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,337
Mohawk Industries,dalton state college,254.0,georgia northwestern technical college,130.0,kennesaw state university,109.0,the university of georgia,63.0,the university of tennessee at chattanooga,53.0,university of phoenix,53.0,shorter university,45.0,georgia institute of technology,41.0,north carolina state university,37.0,universidad autonoma de nuevo leon,36.0,university of west georgia,34.0,university of north texas,34.0,auburn university,32.0,savannah college of art and design,25.0,the university of alabama,25.0,338
